,0
0,-4.9949822107331805
1,-4.882305356849372
2,-4.779581268763264
3,-4.66353747674661
4,-4.606154624874321
5,-4.514765139522595
6,-4.443164508439846
7,-4.333570561515928
8,-4.330953355879452
9,-4.282711646234188
10,-4.280429796054488
11,-4.330889300873963
12,-4.342065073950294
13,-4.431980359960496
14,-4.442645444730998
15,-4.38948079988669
16,-4.392528823324695
17,-4.421701791021648
18,-4.422582291509391
19,-4.381728539041518
20,-4.334163697875326
21,-4.333451454986463
22,-4.333507137532371
23,-4.359306187685947
24,-4.3851052378395226
25,-4.4046981650661285
26,-4.4242910922927345
27,-4.443884019519342
28,-4.445559648262877
29,-4.505262193824756
30,-4.521175426807208
31,-4.537088659789659
32,-4.5530018927721105
33,-4.577897606453461
34,-4.556234583765552
35,-4.6606471893206285
36,-4.6617626290296705
37,-4.653758383483399
38,-4.622936589334058
39,-4.673147818407734
40,-4.716073730995093
41,-4.723300413423604
42,-4.839162745551704
43,-4.891042122594822
44,-4.998541992384151
45,-4.99982236236755
46,-5.020722082355965
47,-5.0214307927010795
48,-4.996635741867818
49,-4.971840691034556
50,-4.966209725189087
51,-4.990305446036371
52,-4.963277674707219
53,-4.965211560706328
54,-4.935089739319398
55,-4.920108737532767
56,-4.911747381100635
57,-4.882391240290468
58,-4.880503968978355
59,-4.830839103711435
60,-4.843550019845881
61,-4.879722424896643
62,-4.8263898931685505
63,-4.792182558816717
64,-4.7971501457321475
65,-4.761657973971186
66,-4.726165802210224
67,-4.746041929414177
68,-4.73844963562689
69,-4.716931287284509
70,-4.698141516414564
71,-4.668315918564664
72,-4.6784646626903035
73,-4.615577998271057
74,-4.653254456191772
75,-4.632957635400418
76,-4.644881940202159
77,-4.591637573019845
78,-4.55346833122038
79,-4.576841655597186
80,-4.500041938807976
81,-4.5000116442952285
82,-4.446910781415399
83,-4.44460918484203
84,-4.468273927859068
85,-4.454445734654388
86,-4.461059467267861
87,-4.396600187360502
88,-4.472640054223729
89,-4.997336746561921
