,0
0,-5.983261194975728
1,-5.819921367937418
2,-5.704711791331977
3,-5.594738435440753
4,-5.538709570423452
5,-5.4861725292176216
6,-5.45681639106026
7,-5.442084649016542
8,-5.3881589128802405
9,-5.4078169123863535
10,-5.375376783320784
11,-5.33004272194975
12,-5.379594796083383
13,-5.419217203398666
14,-5.458839610713948
15,-5.4984620180292305
16,-5.538084425344513
17,-5.518002129307776
18,-5.492528023500478
19,-5.502793116223475
20,-5.513058208946471
21,-5.523323301669468
22,-5.533588394392464
23,-5.543853487115462
24,-5.554118579838459
25,-5.564383672561456
26,-5.538563433364171
27,-5.552046769720924
28,-5.565530106077676
29,-5.579013442434429
30,-5.592496778791183
31,-5.595241069310274
32,-5.668084342169225
33,-5.687929038440221
34,-5.704850368821662
35,-5.718617388434
36,-5.750524517879569
37,-5.782431647325138
38,-5.8143387767707075
39,-5.841985361409978
40,-5.876395004035929
41,-5.8944269919451635
42,-5.952617000922013
43,-5.936997290095281
44,-5.998696040656711
45,-5.983812259592469
46,-5.941693747736067
47,-5.896562049582023
48,-5.9640626066657445
49,-5.918928534613522
50,-5.873794462561297
51,-5.869385578462919
52,-5.9203130789984435
53,-5.897315200686703
54,-5.915164290585614
55,-5.8684465549762646
56,-5.850473293032125
57,-5.8048151366569085
58,-5.75915698028169
59,-5.706235256589587
60,-5.733709825317126
61,-5.70067419412711
62,-5.650245739467504
63,-5.6137526893176055
64,-5.577259639167708
65,-5.54076658901781
66,-5.5185706494281295
67,-5.496374709838449
68,-5.474178770248768
69,-5.4519828306590865
70,-5.429786891069405
71,-5.4059559149325755
72,-5.320983348586063
73,-5.317242397779295
74,-5.318200731635874
75,-5.216573037021475
76,-5.210496655981097
77,-5.207609138545467
78,-5.127149409114872
79,-5.078697866797079
80,-4.997230636624092
81,-4.891701153810206
82,-4.976949896834751
83,-5.053638261883898
84,-5.15662840305013
85,-5.245154151178961
86,-5.302494939835204
87,-5.210256217916682
88,-5.43046968025936
89,-5.98638198988434
