,0
0,-5.166652496997638
1,-5.101791980442994
2,-5.0226990854116
3,-4.994844680788949
4,-5.002115861837664
5,-4.938844632151772
6,-4.950392170321707
7,-4.937789156249138
8,-4.8767875455513225
9,-4.8310982001095
10,-4.880256796092957
11,-4.88349012257923
12,-4.886723449065502
13,-4.886675545174568
14,-4.888636492967061
15,-4.932787415082486
16,-4.940406416909719
17,-4.948025418736951
18,-4.955644420564184
19,-4.963263422391416
20,-4.970406242982836
21,-4.9775490635742585
22,-4.98469188416568
23,-4.991834704757101
24,-4.998977525348521
25,-4.985390354506103
26,-4.9718031836636865
27,-4.9582160128212704
28,-4.935728997002418
29,-4.935974629520944
30,-4.935576458058677
31,-4.935178286596411
32,-4.96652384537905
33,-4.937144406919014
34,-4.988104446025938
35,-4.937763624339206
36,-4.989108667243646
37,-4.939193552799179
38,-4.936427035278764
39,-4.984436915941906
40,-4.957476944086223
41,-4.98991543316892
42,-4.994225707306534
43,-5.045758691013353
44,-5.1632350702746574
45,-5.175031613094436
46,-5.054391647291032
47,-4.99935336900138
48,-4.987034620210946
49,-4.939065777007989
50,-4.962682773176171
51,-4.9175732137990895
52,-4.872463654422007
53,-4.827354095044926
54,-4.790875884344839
55,-4.7543976736447515
56,-4.717919462944663
57,-4.663317673021245
58,-4.641138579214419
59,-4.618959485407593
60,-4.596780391600767
61,-4.574601297793941
62,-4.552422203987116
63,-4.542509660234848
64,-4.515671340155232
65,-4.488833020075616
66,-4.4619946999960005
67,-4.435156379916386
68,-4.404445437809196
69,-4.367911526203749
70,-4.331377614598304
71,-4.281368266184103
72,-4.227640582468387
73,-4.215829905668052
74,-4.204019228867717
75,-4.192208552067383
76,-4.180397875267049
77,-4.1685871984667155
78,-4.169769887353469
79,-4.159189623148465
80,-4.187736962570041
81,-4.170097884574464
82,-4.219770230042254
83,-4.241623626407003
84,-4.288305339018349
85,-4.279437997313149
86,-4.279538167638367
87,-4.228412813616792
88,-4.496676912812364
89,-5.16037040832892
